Node	feature
B_Afipia	genus
B_Azospirillum	genus
B_Providencia	genus
B_Ilumatobacter	genus
F_Candida	genus
F_Hyphopichia	genus
B_Campylobacter	genus
F_Petractis	genus
B_Shewanella	genus
B_Nostoc	genus
B_Erwinia	genus
F_Hyalorbilia	genus
B_Acinetobacter	genus
B_Escherichia	genus
B_Liberibacter	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Alistipes	genus
B_Hydrogenobaculum	genus
B_Candidatus Saccharimonas	genus
B_Corallococcus	genus
B_Lutibacter	genus
B_Apibacter	genus
F_Pyrenophora	genus
F_Podospora	genus
F_Psathyrella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Sphingomonas	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Methylobacterium	genus
B_Leptotrichia	genus
B_Roseomonas	genus
B_Microbacterium	genus
B_Neisseria	genus
B_Janibacter	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Rheinheimera	genus
B_Capnocytophaga	genus
B_Gemella	genus
B_Veillonella	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Cloacibacterium	genus
B_Citricoccus	genus
B_Lachnoanaerobaculum	genus
B_Devosia	genus
B_Schaalia	genus
B_Alistipes	genus
B_Skermanella	genus
B_Auritidibacter	genus
B_Candidatus Saccharimonas	genus
B_Spirochaeta	genus
B_Corallococcus	genus
B_Pontibacter	genus
B_Acetobacter	genus
B_Zymomonas	genus
B_Lutibacter	genus
B_Apibacter	genus
B_Micavibrio	genus
F_Umbilicaria	genus
F_Medeolaria	genus
F_Xenoacremonium	genus
F_Kriegeria	genus
F_Boothiomyces	genus
F_Mortierella	genus
F_Backusella	genus
F_Neozygites	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Sphingomonas	genus
B_Paracoccus	genus
B_Agrococcus	genus
F_Mortierella	genus
B_Moraxella	genus
B_Acinetobacter	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Sphingomonas	genus
B_Lactobacillus	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Neisseria	genus
B_Janibacter	genus
B_Kytococcus	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Capnocytophaga	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Finegoldia	genus
B_Corallococcus	genus
B_Selenomonas	genus
B_Lutibacter	genus
B_Apibacter	genus
F_Kriegeria	genus
F_Cintractia	genus
F_Mortierella	genus
B_Moraxella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Sphingomonas	genus
B_Lactobacillus	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Chroococcidiopsis	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Rothia	genus
B_Dermabacter	genus
B_Luteibacter	genus
F_Sporothrix	genus
F_Cintractia	genus
F_Mortierella	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Micrococcus	genus
B_Sphingomonas	genus
B_Paracoccus	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Leptotrichia	genus
B_Microbacterium	genus
B_Neisseria	genus
B_Kytococcus	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Rheinheimera	genus
B_Pseudonocardia	genus
B_Flavobacterium	genus
B_Pantoea	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Elizabethkingia	genus
B_Lachnoanaerobaculum	genus
B_Schaalia	genus
B_Phenylobacterium	genus
B_Candidatus Sulcia	genus
B_Alistipes	genus
B_Candidatus Saccharimonas	genus
B_Corallococcus	genus
B_Arsenicicoccus	genus
B_Acetobacter	genus
B_Lutibacter	genus
B_Tetragenococcus	genus
B_Desulfovibrio	genus
B_Apibacter	genus
B_Micavibrio	genus
F_Hanseniaspora	genus
F_Mortierella	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Leptotrichia	genus
B_Neisseria	genus
B_Sphingobacterium	genus
B_Janibacter	genus
B_Kytococcus	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Pseudonocardia	genus
B_Capnocytophaga	genus
B_Gordonia	genus
B_Gemella	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Elizabethkingia	genus
B_Cloacibacterium	genus
B_Lachnoanaerobaculum	genus
B_Thioclava	genus
B_Devosia	genus
B_Phenylobacterium	genus
B_Alistipes	genus
B_Auritidibacter	genus
B_Candidatus Saccharimonas	genus
B_Corallococcus	genus
B_Arsenicicoccus	genus
B_Pontibacter	genus
B_Martelella	genus
B_Zymomonas	genus
B_Lutibacter	genus
B_Apibacter	genus
B_Haematobacter	genus
B_Acholeplasma	genus
F_Tulostoma	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Roseomonas	genus
B_Microbacterium	genus
B_Neisseria	genus
B_Janibacter	genus
B_Dietzia	genus
B_Brachybacterium	genus
B_Kytococcus	genus
B_Rheinheimera	genus
B_Pseudonocardia	genus
B_Gordonia	genus
B_Halomonas	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Elizabethkingia	genus
B_Cloacibacterium	genus
B_Citricoccus	genus
B_Lachnoanaerobaculum	genus
B_Thioclava	genus
B_Devosia	genus
B_Schaalia	genus
B_Xanthomonas	genus
B_Alistipes	genus
B_Auritidibacter	genus
B_Candidatus Saccharimonas	genus
B_Altererythrobacter	genus
B_Corallococcus	genus
B_Arsenicicoccus	genus
B_Lutibacter	genus
B_Apibacter	genus
B_Acidiphilium	genus
B_Micavibrio	genus
F_Mortierella	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Chryseobacterium	genus
B_Paracoccus	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Lawsonella	genus
B_Leptotrichia	genus
B_Pseudoxanthomonas	genus
B_Neisseria	genus
B_Fusobacterium	genus
B_Anaerococcus	genus
B_Propionibacterium	genus
B_Rheinheimera	genus
B_Capnocytophaga	genus
B_Veillonella	genus
B_Enterococcus	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Elizabethkingia	genus
B_Lachnoanaerobaculum	genus
B_Alistipes	genus
B_Candidatus Saccharimonas	genus
B_Corallococcus	genus
B_Tsukamurella	genus
B_Acetobacter	genus
B_Lutibacter	genus
B_Chromohalobacter	genus
B_Listeria	genus
F_Coccocarpia	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Paracoccus	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Leptotrichia	genus
B_Sphingosinicella	genus
F_Cintractia	genus
B_Sphingobium	genus
B_Enterococcus	genus
B_Thiococcus	genus
F_Amniculicola	genus
F_Monodictys	genus
F_Placidium	genus
F_Hypsizygus	genus
F_Hydnochaete	genus
B_Nocardia	genus
B_Caulobacter	genus
F_Velutarina	genus
F_Ascitendus	genus
B_Burkholderia	genus
B_Halomonas	genus
B_Alteromonas	genus
B_Kushneria	genus
B_Geobacillus	genus
B_Pectobacterium	genus
B_Acholeplasma	genus
F_Macrohyporia	genus
F_Melanopsichium	genus
B_Moraxella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Paracoccus	genus
B_Sphingobium	genus
B_Methylobacterium	genus
B_Neisseria	genus
B_Rothia	genus
